NOMBRE COMERCIAL,DIRECCION,Longitud,Latitud,Costo
BOTICA CARLOS,CENTRO COMERCIAL MUSA  TDA. 13,-77.0241856,-12.0550758,Economico
BOTICA CARMEN,AV. EDUARDO DE HABICH 488,-77.0543608,-12.0163066,Costoso
BOTICA CARMEN LUZ,JR. INCA ROCA 914  TAHUANTINSUYO IV ZONA,-77.04019498,-12.04473587,Economico
BOTICA CARMIR,AV. ALFONSO UGARTE 641-B,-77.0035429,-12.0085642,Costoso
BOTICA CAROL,GRUPO. 25,-77.03773143,-12.11392925,Economico
BOTICA CARULLA EL OLIVAR S.A.,AV. CONQUISTADORES 714,-77.052283,-12.0735908,Economico
BOTICA CATITA,AV. PASTOR SEVILLA  MZ. A - 2,-77.0494686,-12.0749905,Economico
BOTICA CECY,MZ. G,-77.04305894,-12.04577068,Economico
BOTICA CELI´S,URB. RES. PARIACHI (ALT.KM. 16.5 CARRETERA)  MZ.H-2,-77.07400358,-11.99442024,Costoso
BOTICA CENTRAL,AV. CENTRAL  MZ.F-3,-77.0328859,-12.0809559,Economico
BOTICA CENTRAL,CALLE. GENERAL JOSE ECHENIQUE 109  U. POP PAMPLONA BAJA,-77.0393144,-12.1084371,Economico
Botica Cercado ,Av. Ã“scar R. Benavides 358  Cercado de Lima 15082  Peru,-77.0460843,-12.0466246,Costoso
BOTICA CESAR S,URB. HORACIO ZEVALLOS  MZ. M  LTE. 12-12A HORACIO ZEVALLOS,-76.98639727,-11.95880708,Economico
BOTICA CESAR`S,PJE. ASTRONAUTA ESTE 114  MESA REDONDA,-77.0674038,-11.9906211,Costoso
BOTICA CESITAR II,JR. LAS ZABILAS 130  SAN HILARION,-77.03015608,-12.1059235,Economico
BOTICA CHAMA,AV. Y  MZ. A,-77.0399586,-12.0731593,Economico
BOTICA CHASQUIFARMA,AV. ALFONSO UGARTE 922,-77.0344339,-12.026285,Costoso
BOTICA CIENEGUILLA,AV. SAN MARTIN  MZ.D,-77.05948747,-11.95133646,Costoso
BOTICA CINTYA,CALLE LAS CUCARDAS 104,-77.0186137,-12.0997879,Economico
BOTICA CITY,JR. TRUJILLO 483,-76.9924377,-11.9558652,Economico
Botica Claudia,JirÃ³n Mancora 199-163  Cercado de Lima 15079  Peru,-77.0497364,-12.0389011,Costoso
BOTICA CLAUDIA,AA.HH. HORACIO ZEVALLOS GAMEZ - GRUPO F  MZ.A,-77.08441957,-11.92118965,Costoso
BOTICA CLAUDINA,AV. CESAR VALLEJO 399,-77.0890663,-12.006979,Costoso
BOTICA COGAFARMA,CALLE N MZ. E 1,-76.9830262,-12.0243258,Economico
BOTICA COLLIQUE,Jiron Los Geranios 107  Comas 15313  Peru,-77.0398405,-11.9134697,Costoso
BOTICA COLMENARES,JR. ELEAZAR BLANCO 271,-77.047068,-12.05481,Costoso
BOTICA CONFRATERNIDAD,JR. PEREZ DE TUDELA 3326,-77.06783987,-11.99135579,Costoso
BOTICA CONQUISTADORES FARMA,JR. AREQUIPA 245,-77.034331,-12.027218,Costoso
BOTICA CONQUISTADORES FARMA,AV. JOSE C. MARIATEGUI - ZONA B  LT.3 AA.HH. HUAYCAN,-77.0351271,-12.0370175,Costoso
BOTICA CONTIFARMA,AV. CENTRAL  MZ.V-11,-77.0573501,-12.0846203,Economico
BOTICA CONTINENTAL,AV. RIVA AGUERO 1300 - B,-77.060466,-11.975851,Costoso
BOTICA CONTINENTAL II,ASOC. VIRGEN DEL CARMEN  MZ.F,-76.9892193,-12.0967588,Economico
BOTICA CORAZON DE JESUS,AV. MIGUEL IGLESIAS  MZ. F,-77.030025,-12.044162,Costoso
BOTICA CORAZON DE JESUS,AV. SANTA ROSA  MZ.F-1,-77.0113653,-12.0839961,Economico
BOTICA CORAZON DE JESUS,URB. PRO LIMA MZ.I,-76.9990462,-12.1212565,Economico
BOTICA CORAZON DE JESUS,JR. ARENILLAS 139  ZARUMILLA,-77.096223,-12.06629866,Economico
BOTICA CORAZON DE JESUS,JR. MIGUEL GRAU 367  PORRAS BARRENECHEA,-77.0422522,-12.0707676,Economico
BOTICA CORAZON DE JESUS,JR. SEBASTIAN SALAZAR BONDY  MZ.Q. LT.12 COOP. VIÑA SAN FRANCISCO,-77.0744298,-11.8648256,Costoso
BOTICA CORAZON DE JESUS,AV. 24 DE SETIEMBRE  MZ.H,-77.06097031,-11.94423171,Costoso
BOTICA CORINNE,JR. NAPOLEON VIDAL 146,-77.0344789,-12.0893385,Economico
BOTICA CRISTHIAN FARMA,AV. 15 DE JULIO S/N LT.9 AA.HH. HUAYCAN - ZONA A,-77.000978,-12.0253909,Economico
BOTICA CRISTO JESUS,MZ. B,-77.053568,-12.0502081,Economico
BOTICA CRISTO REY,JR. ESTE  MZ J-2 LT 2 MARISCAL CACERES,-77.0850499,-12.0252261,Costoso
BOTICA CRISTO SANADOR,AV. TUPAC AMARU 5603  SAN JUAN BAUTISTA,-77.07020211,-11.873572,Costoso
BOTICA CRISTO VIVE,AV. PROCERES DE LA INDEPENDENDENCIA 2076 - B  SAN HILARION,-77.0624111,-12.0773562,Economico
BOTICA CRUZ,SECTOR. 6,-77.0314966,-12.1135251,Economico
BOTICA CRUZ,SECTOR. 7,-77.00197745,-11.97457216,Economico
BOTICA CRUZ DE CHALPON,SECTOR. EL NAZARENO  MZ. T-1,-77.0427,-12.046374,Economico
BOTICA CRUZ DE MOTUPE,AV. MICAELA BASTIDAS 693  SAN AGUSTIN,-77.0625546,-12.0955805,Economico
BOTICA CRUZ DE MOTUPE,ASOC. VIRGEN DE LAS NIEVES MZ.D,-77.012469,-12.0985996,Economico
BOTICA CRUZ PHARMA,CALLE LOS CLAVELES 154  AA.HH. 7 III ZONA,-77.05757371,-11.98368273,Costoso
BOTICA CRUZ ROJA,AV. ARAMBURU 309,-77.0384576,-12.0459404,Costoso
BOTICA CRUZ ROJA,2ª ETAPA  MZ. C,-77.0357292,-12.0764991,Economico
BOTICA CRUZ VERDE,AV. TUPAC AMARU 1390,-77.0390382,-12.0931945,Economico
BOTICA CRUZ VERDE,AV. LOS FICUS 308  JOSE GALVEZ,-76.98932909,-12.08977605,Economico
BOTICA CRUZFARMA,AV. JOSE PARDO DE ZELA 835,-77.02200976,-11.88612425,Costoso
BOTICA CUBAS,AV. HONDURAS Nº 368 II ETAPA EL PARRAL,-77.0618555,-12.0707706,Economico
BOTICA D`TODO,JR. LIBERTAD # 457-A (ALT.CDRA.39 AV.BRASIL),-77.0582743,-11.9892459,Costoso
BOTICA D´MARTIN,AV. KETIN VIDAL  MZ. Q,-77.0853237,-11.9841531,Costoso
BOTICA D´VICTORIA,AV. HUANDOY MZ. A 2,-77.072012,-12.077027,Economico
BOTICA DALIA,AV. FAUSTINO SILVA 510 - A,-77.05366011,-12.0569101,Economico
BOTICA DANGELLO´S REPRESENTACIONES E.I.R.L.,AV. LA ALBORADA 1440  LAS BRISAS,-77.0023224,-12.0843101,Economico
BOTICA DANIEL,A.H. LOS VIÑEDOS DE SURCO  MZ. C,-77.05798543,-11.98923585,Costoso
BOTICA DANTE ALIGHIERI,LOTIZACION LEONCIO PRADO - ZAPALLAL MZ. H,-77.0581104,-12.089374,Economico
BOTICA DAVID,CALLE 11 MZ.E,-77.0700298,-12.0904161,Costoso
Botica Dayam,Av. Guardia Chalaca 2199  Bellavista 07016  Peru,-77.1224479,-12.062792,Costoso
BOTICA DBL FARMA,JR. FRANCISCO MORENO 1122,-77.0552543,-12.0266855,Costoso
BOTICA DE A SOL,AA.HH. SAN MIGUEL  MZ. J4,-77.0760251,-11.9951126,Costoso
BOTICA DE JESUS,CALLE VIRGINIA CANDAMO 120  PANDO,-77.0107674,-12.0962139,Economico
BOTICA DE SOL,AV. TUPAC AMARU 211,-77.074471,-11.9271375,Costoso
BOTICA DEL CARMEN,AV. LOS CONSTRUCTORES 1395  COVIMA,-77.0553621,-11.9160503,Costoso
BOTICA DEL CASTILLO E.I.R.L.,AV. BERTELLO 502,-77.0288698,-12.0673203,Economico
BOTICA DEL CENTRO,ASOCIACION EL PORVENIR  MZ.A,-77.07154668,-12.08993564,Economico
BOTICA DEL MILAGRO E.I.R.L.,AV. CANEVARO 1183,-77.0345261,-12.111408,Economico
BOTICA DEL NIÑO,JR. LOS MAGABUROS 144  FUNDO OYUAGUE,-76.9835449,-12.1102978,Economico
BOTICA DEL PUEBLO,CALLE. PORTADA DE MANCHAY  MZ. D,-77.0303281,-12.075597,Economico
BOTICA DEL PUEBLO,AV. MIGUEL IGLESIAS 868,-77.0352339,-12.0942748,Economico
BOTICA DEL PUEBLO,AV. SAN MARTIN 750  AA.HH. TUPAC AMARU DE VILLA,-77.06152595,-11.94153276,Costoso
BOTICA DEL PUEBLO,AV. GNENERAL MIGUEL IGLESIAS  MZ. A,-77.070837,-11.9783065,Costoso
BOTICA DEL PUEBLO TODO POR 0.99,AV. DEFENSORES DEL MORRO (HUAYLAS) 490,-77.001172,-12.025456,Economico
BOTICA DELIA,AV. LIMA 2201  COOP. LA HUAYRONA,-77.0440331,-12.0443408,Economico
BOTICA DELICIAS,ESQUINA CORDILLERA OCCIDENTAL Y POMAHUARI  MZ. B-8,-77.0647677,-12.0320466,Costoso
Botica Dental Ebenezer EIRL,Galeria Cayetano Heredia  Avenida EmancipaciÃ³n 340  Cercado de Lima 15001  Peru,-77.0358062,-12.0472675,Costoso
Botica Dental Pa Arleen,Avenida EmancipaciÃ³n 316  Cercado de Lima 15001  Peru,-77.0356071,-12.0473691,Costoso
BOTICA DHARMA,AV. GERARDO UNGER 1579-A  FIORI,-76.98067344,-11.95624342,Economico
BOTICA DIEGO,AV.HUANDOY 5012  EL PARQUE NARANJA,-77.06109429,-12.08358104,Economico
BOTICA DIEGO`S,AV. VILLA MARIA 1186,-77.0121583,-12.1274247,Economico
BOTICA DISTRIBUIDORA AMEL,JR. JUAN VIRREY LA SERNA 487,-77.02486631,-12.11917566,Economico
BOTICA DIVINO JESUS,AV. CESAR VALLEJO 1447  COOP. TAYACAJA,-77.1459659,-11.7339705,Costoso
BOTICA DIVINO NIÑO JESUS,AV. FRANCISCO BOLOGNESI 962  LOS FICUS,-77.05272913,-12.06177489,Economico
BOTICA DIVINO NIÑO JESUS,JR. ISMAEL ESCOBAR 329  PAMPLONA BAJA,-77.0779139,-11.970894,Costoso
BOTICA DIVINO SALVADOR,SECTOR. 2,-77.00317229,-11.96734504,Economico
BOTICA DMD PHARMA,AV. TUPAC AMARU Nº 1450 P.J. LA LIBERTAD,-77.000102,-11.8345612,Costoso
BOTICA DORITA,AV. UNIVERSITARIA 1905  EL RETABLO,-77.0595468,-12.071172,Economico
BOTICA DR. LUIS QUITO,AV. GRAU 732,-77.0357299,-12.0499425,Economico
BOTICA DR.LUIS QUITO,AV. ALMIRANTE GRAU 844,-77.05209797,-11.95411751,Costoso
BOTICA DRA MARLENI,AV. MICAELA BASTIDAS,-77.07731286,-11.96946041,Costoso
BOTICA EBELYJ,AV. GRAU 1400,-77.0114045,-12.0895371,Economico
BOTICA EBENEZER,AV. LOS ALISOS 218  NARANJAL,-77.0549798,-11.9330888,Costoso
BOTICA ECOPHARMA,CALLE 7  MZ N5,-77.0575097,-12.0043022,Costoso
BOTICA EDGAR,AV. LOS PARACAS 222  LOS RECAUDADORES,-77.0387727,-12.0461569,Costoso
BOTICA EDITH,MZ.41 LT.13 SAN JUAN DE AMANCAES,-77.0377723,-12.11387473,Economico
BOTICA EDITH,JR. AYMI TUPAC MZ. M,-77.0460667,-11.9332042,Costoso
BOTICA EDWARD,AV. JOSE CARLOS MARIATEGUI 698,-77.0400659,-12.0626451,Costoso
BOTICA EL ACUARIO,CALLE HUAYUCARI C/RAMIRO PRIALE  MZ.C,-76.99948756,-12.00199899,Economico
BOTICA EL ANGEL,CALLE A  ASOCIACION VIRGEN DE LAS NIEVES  MZ-E LT-13,-77.1123214,-11.8261347,Costoso
BOTICA EL BUEN DESCUENTO 1,AV. LAS TORRES  MZ.A,-77.0026526,-11.9557782,Economico
BOTICA EL CARMEN,AV. JOSE CARLOS MARIATEGUI UVC-5  LT.17 HUAYCAN ZONA E,-77.04922534,-12.05486498,Economico
BOTICA EL CHINITO,AV. VICENTE MORALES DUAREZ Nº 457 ESQ JR. MANCORA Nº 110,-77.05356381,-12.02817007,Costoso
BOTICA EL DESCUENTO,AV. SAN ANTONIO 325  SAN GABRIEL,-77.07005537,-11.9907025,Costoso
BOTICA EL DIEZ,AV. SAN MARTIN DE PORRES 105  A.H. JESUS OROPEZA,-77.0206055,-12.1261171,Costoso
Botica El Eden,San Juan de Miraflores 15824  Peru,-76.9671692,-12.1748201,Costoso
BOTICA EL EDEN,13 DE OCTUBRE 604 MZ. J,-77.038603,-12.0460973,Costoso
BOTICA EL EDEN,JR. TRUJILLO NORTE 247,-77.00507,-11.9946077,Costoso
BOTICA EL EXITO,CALLE LOS NOGALES 723  COOP. DE VIV. MANUEL CORREA,-77.0052521,-12.0916789,Economico
Botica El Lucero SA,JirÃ³n Sta. Rosa 360A  Cercado de Lima 15001  Peru,-77.0301499,-12.0497389,Costoso
BOTICA EL MARGOSINO,AV. PROLONGACION EL SANTUARIO 1901  MANGOMARCA,-77.1066454,-12.0795314,Costoso
BOTICA EL ORIENTE I,JR. VICTOR CRIADO Y TEJADA -URB.ELIO 4TA. ETP. 2727,-77.09330476,-12.0306373,Costoso
BOTICA EL PERUANITO,AV. TUPAC AMARU  Nº 1400 P.J. LA LIBERTAD,-71.5151143,-16.4024232,Costoso
BOTICA EL PUEBLO,AA.HH. 10 OCTUBRE  MZ.B-6,-77.00690947,-12.1143258,Economico
BOTICA EL PUEBLO,C.C. SANTA LEONOR,-77.165688,-11.749298,Costoso
BOTICA EL REDENTOR,ASOCICION DE VIVIENDA MONTERREY  MZ.F,-76.99229181,-12.08614598,Economico
BOTICA EL REGALITO,CALLE LAS PALMERAS 328,-77.069213,-11.991118,Costoso
BOTICA EL TRIUNFO,JR. NEPTUNO MZ. 9,-77.03672853,-12.0765058,Economico
BOTICA EL TRIUNFO,URB.GRUMETE MEDINA  MZ. T-2,-77.0987145,-12.0813992,Economico
Botica Elifarma,Av. Alfonso Ugarte 900  Cercado de Lima 15082  Peru,-77.0425888,-12.0510867,Costoso
BOTICA ELIFARMA,AV. ZARUMILLA Nº 856 REF: ALT. PUENTE CONTROL MUNICIPALIDAD DE SAN MARTIN,-77.03917644,-11.90165172,Costoso
BOTICA ELIM,AV. HORACIO ZEVALLOS 2DA.CDRA.  MZ.B,-77.07802153,-11.94786217,Costoso
BOTICA ELLIOT,CALLE. JOSE SANTOS CHOCANO 141  P.J. JOSE CARLOS MARIATEGUI,-77.0082323,-12.0837046,Economico
BOTICA ELNA,AA.HH.LAS BRISAS DE VILLA   /ALT.KM 16.5  /MZ.C,-77.04219795,-11.92687116,Costoso
BOTICA ELOY,AV. CARRETERA CENTRAL  MZ.E,-77.03903294,-12.05918775,Economico
BOTICA ELSA,CALLE 102 MZ.A,-77.0294195,-12.0168446,Costoso
BOTICA ELVA LUCIA,AV.LOS PROCERES  MZ.M,-77.09881838,-11.8482284,Costoso
BOTICA ELVIA,AV. JOSE CARLOS MARIATEGUI,-77.0355622,-12.0517615,Economico
BOTICA ELY - FARMA,AV. UNIVERSITARIA NORTE 10598  SAN FELIPE,-77.0092345,-11.9977953,Economico
BOTICA EMANUEL,AV. MARIANO CORNEJO 2093,-76.98968636,-12.0894963,Economico
BOTICA EMERGENCIA HUANCA,OLLANTAY  PAMPLONA ALTA  MZ. H - 3,-77.0101,-12.1275,Economico
BOTICA EMILY,AV. BELAUNDE OESTE 522  HUAQUILLAY,-77.095809,-12.0765599,Economico
BOTICA EMY,CALLE SAN JUAN MZ. D,-77.05700106,-12.09274455,Economico
BOTICA ENDOFARMA,CALLE VIRREY MANUEL GUIRIOR Nº 892 REF: ALT. CDRA.3 AV. MARINA,-77.07488297,-11.89620405,Costoso
BOTICA ESKE BOTICAS,AV. LOS HEROES 465 - B,-77.06889366,-11.82843292,Costoso
BOTICA ESMERALDA,JR. PEDRO P. FARFAN 1298  TRINIDAD,-77.0114808,-12.0285263,Economico
BOTICA ESPAÑA,AV. MARAÑON MZ. D,-77.078617,-11.862587,Costoso
BOTICA ESPLENDOR,AV. SERGIO BERNALES Nº 488 TDA. 34,-77.0353619,-12.0493589,Economico
Botica Estela,Lima 15001  Peru,-77.0382219,-12.0477229,Costoso
BOTICA ESTELA,AV. TACNA 639,-77.03903164,-11.9674879,Costoso
Botica Estrada,Av. Arenales 485  JesÃºs MarÃ­a 15072  Peru,-77.0377391,-12.069476,Costoso
BOTICA ESTRELLA,ASOCIACION VIRGEN DEL CARMEN  MZ. E,-77.0712353,-12.0941195,Economico
BOTICA EUFEMIA,JR. ANTONIO BAZO 554,-76.9991488,-12.1117911,Economico
BOTICA EUSELO,JR. EL SALVADOR 556-A  PERU,-77.035215,-12.088175,Economico
BOTICA EVELYN,AV. HUASCAR SECTOR A  MZ.4,-77.08450819,-12.03082456,Costoso
BOTICA EVITA,AV. CONDORCANQUI 591  PAYET,-77.0180619,-12.1282107,Economico
Botica F&R Pharmacy,Ventanilla 07071,-77.1605156,-11.8372813,Costoso
BOTICA FAM,ASOCIACION PORVENIR DE VITARTE  MZ. D,-77.0381986,-12.0716856,Economico
BOTICA FAMI FARMA,JR. FELIPE SANTIAGO CRESPO 315,-77.0041423,-11.9719013,Economico
BOTICA FAMIDENT,AV. 12 DE OCTUBRE  MZ. A - 5,-77.024066,-12.112334,Economico
BOTICA FANNY,JR. ULISES DEL BOY # 923,-76.9954578,-12.0817208,Economico
BOTICA FARMA & SALUD,AV. JOSE CARLOS MARIATEGUI 243,-76.99873,-11.973545,Economico
BOTICA FARMA ACV E.I.R.L.,AV. LOS QUECHUAS 1221  OLIMPO,-77.0768952,-12.0274012,Economico
BOTICA FARMA AHORRO,AV. TUPAC AMARU Nº 3699 MZ. C,-77.0282412,-12.0243191,Costoso
BOTICA FARMA ALFA,AV. EMILIO CAVENECIA 205,-77.057469,-11.9888929,Costoso
BOTICA FARMA ALFA,JR. WASHINGTON 1097,-77.053541,-11.9299805,Costoso
BOTICA FARMA BRACY,AV. LAS FLORES DE PRIMAVERA 1003  COOP. VIV. LAS FLORES,-77.0346374,-12.0843442,Economico
BOTICA FARMA CENTER,JR. IGNACIO COSSIO 1345,-77.012621,-12.0890873,Economico
BOTICA FARMA CENTER J&S S.A.C.,CALLE CAJAMARCA 3704  PERU,-77.0319675,-12.01848238,Costoso
BOTICA FARMA CENTRAL,AV. GUILLERMO DE LA FUENTE Nº 265 MZ. W,-77.0759725,-12.0821888,Costoso
BOTICA FARMA CINDY,AV. CANADA 1699  SANTA CATALINA,-77.044228,-12.0282877,Costoso
BOTICA FARMA DESCUENTO,AV. PRINCIPAL  MZ. W,-77.0306735,-12.1235329,Economico
BOTICA FARMA DESCUENTO,AV. MIGUEL IGLESIAS 993 - A,-76.9984983,-12.1158671,Economico
BOTICA FARMA DOMINGUEZ S.A.C.,AV. GERMAN AGUIRRE 994  EL ROSARIO,-77.08476877,-11.97597754,Costoso
BOTICA FARMA EL SOL,AV. PERU Nº 1880 (ALT.PUENTE DUEÑAS),-77.0862833,-12.0122783,Costoso
BOTICA FARMA JESUS,JR. MANUEL UGARTECHE  MZ.Q,-77.0945832,-12.0659612,Economico
BOTICA FARMA KING,URB. TILDA  MZ.O,-77.05859429,-12.0082439,Costoso
BOTICA FARMA KRIS,CALLE GUILLERMO BARRIOS 181  BARRIO OBRERO,-77.0549341,-12.0345295,Costoso
BOTICA FARMA LOTO S.R.L.,AV. TUPAC AMARU 144  VALDIVIEZO,-77.03254736,-12.08783221,Economico
BOTICA FARMA MEDIC SAN CRISTOBAL,AA.HH. VILLA CRUZ MZ. K,-77.05216177,-12.01288243,Costoso
BOTICA FARMA PERU S.C.R.L.,AV. 16 DE MARZO 200 A,-77.0719547,-12.0874456,Costoso
BOTICA FARMA RAB,CALLE 6 MZ.E,-77.003039,-11.881205,Costoso
BOTICA FARMA RED,P.J. CESAR VALLEJO  MZ. 13,-77.0549475,-12.026465,Costoso
BOTICA FARMA REYES,CALLE LA ESPERANZA  MZ. A LT. 04 NUEVA ESPERANZA,-77.06230111,-12.00543934,Costoso
BOTICA FARMA SALUD,JR. ISABEL I. DE CASTILLA 2364  ASOC. AYACUCHO,-77.00206568,-12.11973034,Economico
BOTICA FARMA SALUD I,SECTOR. 02,-77.077903,-11.948639,Costoso
BOTICA FARMA SEÑOR CAUTIVO,AV. PERU 2168,-77.05969434,-11.95152702,Costoso
BOTICA FARMA SEÑOR DE LUREN S.C.R.L.,JR. CALLAO Nº 251 (REF: MDO. AV. PERU),-77.05639756,-12.00884993,Costoso
BOTICA FARMA STELLA MARIS,AV. JOSE CARLOS MARIATEGUI,-77.0200575,-12.0971119,Economico
BOTICA FARMA VENEZUELA MAS SALUD,AV. VENEZUELA 629,-77.0105373,-12.0254233,Economico
BOTICA FARMAAHORRO,AV. CARABAYLLO MZ .I,-77.077756,-11.9705363,Costoso
BOTICA FARMABIEN S.A.C.,URB. VILLA VICTORIA MZ. I,-77.0386264,-12.0899101,Economico
BOTICA FARMACENTER,CALLE TRABAJO  MZ.A,-77.0300442,-12.1194485,Economico
BOTICA FARMACENTER,JR. PARURO 917,-77.0582257,-12.007004,Costoso
BOTICA FARMACH,AV. MIGUEL GRAU S/N LOTE 1 MERCADO CENTRAL AÑO NUEVO,-77.0357761,-12.0853194,Economico
BOTICA FARMACIAS Y BOTICAS NOVA,JR. LUNA PIZARRO 622,-77.069999,-12.0904353,Economico
BOTICA FARMACLASS,AV. AREQUIPA  N° 1801   ESQ. CON CALLE MANUEL CANDAMO,-77.0637102,-11.9914775,Costoso
BOTICA FARMACOM,AV. LAS AMERICAS 350  BALCONCILLO,-77.08345301,-11.97758374,Costoso
BOTICA FARMACOM TORRES  PAZ,JOSE TORRES PAZ 386  CIUDAD DE DIOS,-77.068188,-11.947907,Costoso
BOTICA FARMACRISTO,AV. LOS ALISOS Nº 802 C.H. CARLOS CUETO FERNANDINI,-77.0452168,-11.9415104,Costoso
BOTICA FARMACRUZ,AV. ALFONSO UGARTE  MZ.B,-77.0812836,-11.9954951,Costoso
BOTICA FARMADENT,ASOCIACION VIRGEN DEL CARMEN  MZ.Y,-77.0705301,-12.0946302,Economico
BOTICA FARMAEMANUEL,URB. EL ASESOR 1  MZ.A,-76.99153504,-11.9731757,Economico
BOTICA FARMAHORRO CHAPERITO,AV. GERMAN AGUIRRE UGARTE 555  SAN GERMAN,-77.0554321,-12.024105,Costoso
BOTICA FARMAHORRO CHAPERITO,AV. 16 DE MARZO 202  ERMITAÑO,-77.05071538,-11.94037568,Costoso
BOTICA FARMAJHODAAL,AV.26 DE NOVIEMBRE UR.NUEVA ESPERANZA 969,-77.053568,-12.0502081,Economico
BOTICA FARMALIDER,AV. VENEZUELA 615,-77.0109273,-12.0893469,Economico
BOTICA FARMAMERICA CONTINENTAL S.A.C.,AV. AREQUIPA 2687,-77.06391131,-11.94175967,Costoso
BOTICA FARMAOLIVOS,AV. UNIVERSITARIA 1798 A  EL RETABLO,-77.0333518,-12.0525099,Costoso
BOTICA FARMAPERU,URB. LAS VIOLETAS II ETAPA  MZ.D1,-76.9915882,-12.037996,Costoso
BOTICA FARMAROSA E.I.R.L.,AV. BAUZATE Y MEZA 1615,-77.06131137,-12.07128222,Economico
BOTICA FARMARUSSO S.A.C.,AV. ZARUMILLA 816,-77.0358948,-12.0472254,Economico
BOTICA FARMASALUD,Av. Alfonso Ugarte 988  Cercado de Lima 15082  Peru,-77.0425976,-12.0515146,Costoso
BOTICA FARMASALUD,AV. MICAELA BASTIDAS 184  SAN AGUSTIN,-77.0038959,-12.0899846,Economico
BOTICA FARMASALUD,AV. CONDORCANQUI MZ.U,-76.99528,-12.0812401,Economico
BOTICA FARMASALUD,JR. CARLOS MONGE 173  SANTA CATALINA,-77.05534614,-11.9351927,Costoso
BOTICA FARMASALUD,JR. BOLOGNESI 184,-77.069816,-11.9905191,Costoso
BOTICA FARMASALUD,AV. MELGAREJO 595  SANTA PATRICIA 1° ETAPA,-77.0271114,-11.8961113,Costoso
BOTICA FARMASOL,SECTOR. 2,-77.0554348,-12.0199185,Costoso
BOTICA FARMASS,AV. DEL PARQUE SUR 197,-77.02035404,-12.08420756,Economico
BOTICA FARMASUCC,AV. TUPAC AMARU Nº 194 A PASAJE LA MERCED,-77.01795614,-12.1287438,Economico
Botica Farmatodo,JirÃ³n Joaquin Capello 670  Cercado de Lima 15102  Peru,-77.0567859,-12.029495,Costoso
BOTICA FARMAUNIVISION,JR. MARIANO BUSTAMANTE 797,-77.0449556,-11.9992218,Costoso
BOTICA FARMAVIDA,AV. PROCERES DE LA INDEPENDENCIA  MZ.M-7,-77.0697014,-11.8875316,Costoso
BOTICA FARMAVILLA,AV. MICAELA BASTIDAS,-77.059602,-12.0907623,Economico
BOTICA FATIMA,AV. SAN LUIS 911  LAS MORAS,-77.0423608,-12.0499179,Economico
BOTICA FATIMA,CALLE SAN CRISTOBAL 184,-77.0887906,-12.0260101,Costoso
BOTICA FE,AV. MARCO PUENTE  MZ D,-77.0470249,-12.0743868,Economico
BOTICA FE Y ESPERANZA,PASEO LA LIBETAD 1598,-76.9865087,-12.1102868,Economico
BOTICA FG CRUZ,AV. UNIVERSITARIA 3620,-77.0517529,-12.0746208,Economico
BOTICA FHARMA INTERNATIONAL,AV. LAS TORRES  MZ.A,-77.016617,-12.090244,Economico
BOTICA FHARMARED,P.V. PARAISO DEL NORTE  MZ A LT 2,-77.07626737,-12.03031463,Costoso
BOTICA FIORELLA,AV. LOS TUSILAGOS  MZ.P,-77.04914487,-12.09290978,Economico
BOTICA FLOR DE AMANCAES,AV. PRLONGACION DE AMANCAES  MZ.F,-77.04193509,-12.04675173,Economico
BOTICA FLOR DE MARIA,JR. LOS HUERTOS 2374  SAN IGNACIO,-77.033148,-12.1131663,Economico
BOTICA FRAMAR,MZ.Q,-76.9956629,-12.094811,Economico
BOTICA FRANCCA,CALLE MANCO II 594  MARANGA,-77.034498,-12.0835744,Economico
BOTICA FRANCIA,AV. UNIVERSITARIA 1702  EL RETABLO,-77.0611078,-12.0839746,Economico
BOTICA FRAY MARTIN,SECTOR. 3,-77.02625892,-12.1033904,Economico
BOTICA FRAY MARTIN,JR. HUIRACOCHA Nº 1650 ALT. CDRA 15 AV. BRASIL,-77.0549798,-11.9330888,Costoso
BOTICA FRAY PEDRO URRACA,CARR. CENTRAL C KM.18.5  LT.19 COOP. VIV. LA FLORESTA,-77.02998,-12.05096,Economico
BOTICA G & E SAN LUIS S.A.C.,AV. NICOLAS AYLLON # 1101 - 1103   SAN PABLO,-77.0299731,-12.118937,Costoso
BOTICA G & S FARMA,AV. TANTAMAYO MZ. A,-77.053541,-11.9299805,Costoso
BOTICA G.L.M. FARMA,AV. MIGUEL IGLESIAS  MZ. C,-77.03875661,-11.91153225,Costoso
BOTICA GABY,AV. MATEO PUMACAHUA COMITE. 28  MZ. L - 1,-76.97295002,-11.93921692,Costoso
BOTICA GARAY,JR. JOSE OLAYA 272  P.J. MICAELA BASTIDAS,-77.0389955,-11.8854894,Costoso
BOTICA GEAN PIERRE E.I.R.L.,JR. PARURO 905,-77.060825,-11.947103,Costoso
BOTICA GENESIS,AV. ANDRES AVELINO CACERES,-77.0083129,-12.0914623,Economico
BOTICA GENESIS,SECTOR ALFONSO UGARTE  MZ. C,-77.0395468,-11.8934058,Costoso
BOTICA GENESIS,AV. LOS EUCALIPTOS COOP. UNIVERSAL 800  LOS FICUS,-77.0296613,-12.01871415,Costoso
BOTICA GERALDINE,AV. ANTUNEZ DE MAYOLO 978  MERCURIO,-77.0315913,-12.111062,Economico
